FY,Losses Proceeds (ZAR),Losses Base Cost (ZAR),Losses Gain/Loss (ZAR),Gains Proceeds (ZAR),Gains Base Cost (ZAR),Gains Gain/Loss (ZAR),Net Gain/Loss (ZAR),Total Coin Value (ZAR),BCH Units,BCH Value (ZAR),ETH Units,ETH Value (ZAR),XBT Units,XBT Value (ZAR),XRP Units,XRP Value (ZAR),LTC Units,LTC Value (ZAR)
2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10253.45,0.00000000,0.00,0.00000000,0.00,0.06877900,10253.45,0.00000000,0.00,0.00000000,0.00
2019,4590.01,5195.86,-605.86,0.00,0.00,0.00,-605.86,9647.67,0.00000000,0.00,0.00000000,0.00,0.07650700,9647.67,0.00000000,0.00,0.00000000,0.00
2020,5308.24,5621.46,-313.22,371.61,302.80,68.82,-244.40,3723.41,0.00000000,0.00,0.00000000,0.00,0.03443400,3723.41,0.00000000,0.00,0.00000000,0.00
2021,0.00,0.00,0.00,23500.00,3850.00,19650.00,19650.00,1373.41,0.00000000,0.00,0.00000000,0.00,0.00243400,1373.41,0.00000000,0.00,0.00000000,0.00
2022,0.00,0.00,0.00,13604.16,8894.63,4709.52,4709.52,29795.90,0.00000000,0.00,0.00000000,0.00,0.03680522,29782.95,0.66400000,12.95,0.00000000,0.00
2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33855.72,0.00000000,0.00,0.00000000,0.00,0.04687922,33842.77,0.66400000,12.95,0.00000000,0.00
2024,0.00,0.00,0.00,53751.00,36356.34,17394.66,17394.66,319437.77,0.00000000,0.00,2.99400000,135459.74,0.19870684,169553.08,750.46400000,9352.56,3.49900000,5072.39
2025,0.00,0.00,0.00,242384.74,127426.23,114958.51,114958.51,216127.88,0.00000000,0.00,2.99400000,135459.74,0.08339067,75664.97,0.22000000,-69.22,3.49900000,5072.39
2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278717.23,0.00000000,0.00,4.98600000,198049.09,0.08339067,75664.97,0.22000000,-69.22,3.49900000,5072.39
